,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
115,30.0,4,146.0,67.0,3250.0,21.8,80,2
116,17.5,6,258.0,95.0,3193.0,17.8,76,1
117,33.5,4,85.0,70.0,1945.0,16.8,77,3
118,12.0,8,350.0,160.0,4456.0,13.5,72,1
119,24.0,4,90.0,75.0,2108.0,15.5,74,2
120,13.0,8,318.0,150.0,3940.0,13.2,76,1
121,21.0,4,140.0,72.0,2401.0,19.5,73,1
122,33.0,4,105.0,74.0,2190.0,14.2,81,2
123,41.5,4,98.0,76.0,2144.0,14.7,80,2
124,23.0,4,97.0,54.0,2254.0,23.5,72,2
125,16.0,8,351.0,149.0,4335.0,14.5,77,1
126,18.0,4,121.0,112.0,2933.0,14.5,72,2
127,35.0,4,122.0,88.0,2500.0,15.1,80,2
128,17.0,6,231.0,110.0,3907.0,21.0,75,1
129,23.5,6,173.0,110.0,2725.0,12.6,81,1
130,18.1,8,302.0,139.0,3205.0,11.2,78,1
131,31.0,4,79.0,67.0,2000.0,16.0,74,2
132,15.0,8,350.0,145.0,4082.0,13.0,73,1
133,17.6,8,302.0,129.0,3725.0,13.4,79,1
134,30.5,4,98.0,63.0,2051.0,17.0,77,1
135,36.4,5,121.0,67.0,2950.0,19.9,80,2
136,20.0,6,156.0,122.0,2807.0,13.5,73,3
137,25.8,4,156.0,92.0,2620.0,14.4,81,1
138,19.1,6,225.0,90.0,3381.0,18.7,80,1
139,20.0,8,262.0,110.0,3221.0,13.5,75,1
140,34.7,4,105.0,63.0,2215.0,14.9,81,1
141,10.0,8,307.0,200.0,4376.0,15.0,70,1
142,24.0,4,134.0,96.0,2702.0,13.5,75,3
143,34.2,4,105.0,70.0,2200.0,13.2,79,1
144,26.0,4,97.0,46.0,1835.0,20.5,70,2
145,40.9,4,85.0,101.2974358974359,1835.0,17.3,80,2
146,28.0,4,151.0,90.0,2678.0,16.5,80,1
147,21.0,6,231.0,110.0,3039.0,15.0,75,1
148,17.5,8,318.0,140.0,4080.0,13.7,78,1
149,22.0,6,225.0,100.0,3233.0,15.4,76,1
150,18.0,6,232.0,100.0,2789.0,15.0,73,1
151,14.0,8,351.0,153.0,4154.0,13.5,71,1
152,25.5,4,140.0,89.0,2755.0,15.8,77,1
153,13.0,8,350.0,155.0,4502.0,13.5,72,1
154,28.0,4,97.0,92.0,2288.0,17.0,72,3
155,31.0,4,71.0,65.0,1773.0,19.0,71,3
156,22.4,6,231.0,110.0,3415.0,15.8,81,1
157,23.9,4,119.0,97.0,2405.0,14.9,78,3
158,32.0,4,83.0,61.0,2003.0,19.0,74,3
159,18.0,6,250.0,88.0,3139.0,14.5,71,1
160,32.0,4,135.0,84.0,2295.0,11.6,82,1
161,32.0,4,144.0,96.0,2665.0,13.9,82,3
162,20.0,6,232.0,100.0,2914.0,16.0,75,1
163,12.0,8,383.0,180.0,4955.0,11.5,71,1
164,18.6,6,225.0,110.0,3620.0,18.7,78,1
165,13.0,8,302.0,130.0,3870.0,15.0,76,1
166,26.5,4,140.0,72.0,2565.0,13.6,76,1
167,25.0,4,104.0,95.0,2375.0,17.5,70,2
168,28.0,4,140.0,90.0,2264.0,15.5,71,1
169,29.5,4,98.0,68.0,2135.0,16.6,78,3
170,14.0,8,440.0,215.0,4312.0,8.5,70,1
171,21.5,3,80.0,110.0,2720.0,13.5,77,3
172,32.8,4,78.0,52.0,1985.0,19.4,78,3
173,33.7,4,107.0,75.0,2210.0,14.4,81,3
174,15.0,8,390.0,190.0,3850.0,8.5,70,1
175,25.0,4,98.0,101.2974358974359,2046.0,19.0,71,1
176,29.8,4,134.0,90.0,2711.0,15.5,80,3
177,23.9,8,260.0,90.0,3420.0,22.2,79,1
178,19.4,8,318.0,140.0,3735.0,13.2,78,1
179,25.1,4,140.0,88.0,2720.0,15.4,78,1
180,35.0,4,72.0,69.0,1613.0,18.0,71,3
181,21.5,6,231.0,115.0,3245.0,15.4,79,1
182,17.5,8,305.0,145.0,3880.0,12.5,77,1
183,17.7,6,231.0,165.0,3445.0,13.4,78,1
184,11.0,8,400.0,150.0,4997.0,14.0,73,1
185,18.0,6,232.0,100.0,3288.0,15.5,71,1
186,27.0,4,151.0,90.0,2950.0,17.3,82,1
187,15.0,8,318.0,150.0,4135.0,13.5,72,1
188,24.0,4,113.0,95.0,2278.0,15.5,72,3
189,36.0,4,105.0,74.0,1980.0,15.3,82,2
190,27.4,4,121.0,80.0,2670.0,15.0,79,1
191,18.0,6,199.0,97.0,2774.0,15.5,70,1
192,13.0,8,400.0,150.0,4464.0,12.0,73,1
193,19.0,6,232.0,100.0,2634.0,13.0,71,1
194,40.8,4,85.0,65.0,2110.0,19.2,80,3
195,20.2,8,302.0,139.0,3570.0,12.8,78,1
196,16.0,8,304.0,150.0,3433.0,12.0,70,1
197,43.4,4,90.0,48.0,2335.0,23.7,80,2
198,26.0,4,98.0,90.0,2265.0,15.5,73,2
